"","b","MFlops"
"1",1,165.5794
"2",2,462.852
"3",3,596.242
"4",4,805.656
"5",5,854.916
"6",6,934.986
"7",7,995.964
"8",8,828.26
"9",9,864.502
"10",10,905.814
"11",11,921.686
"12",12,961.694
"13",13,964.62
"14",14,944.602
"15",15,966.166
"16",16,1174.448
"17",17,1198.364
"18",18,1212.172
"19",19,1203.036
"20",20,1199.592
"21",21,1190.844
"22",22,1188.73
"23",23,1192.724
"24",24,1402.638
"25",25,1409.27
"26",26,1415.618
"27",27,1417.982
"28",28,1411.814
"29",29,1401.38
"30",30,1375.586
"31",31,1370.29
"32",32,1580.956
"33",33,1576.948
"34",34,1569.164
"35",35,1571.048
"36",36,1564.864
"37",37,1545.33
"38",38,1547.384
"39",39,1522.488
"40",40,1707.062
"41",41,1684.65
"42",42,1699.604
"43",43,1667.974
"44",44,1666.222
"45",45,1646.136
"46",46,1627.126
"47",47,1608.522
"48",48,1770.466
"49",49,1761.278
"50",50,1761.8
"51",51,1746.162
"52",52,1721.794
"53",53,1713.264
"54",54,1700.288
"55",55,1677.208
"56",56,1825.598
"57",57,1803.948
"58",58,1806.948
"59",59,1788.288
"60",60,1788.404
"61",61,1747.476
"62",62,1741.092
"63",63,1722.952
"64",64,1878.534
"65",65,1846.638
"66",66,1832.78
"67",67,1847.042
"68",68,1822.662
"69",69,1804.22
"70",70,1784.748
"71",71,1768.93
"72",72,1916.326
"73",73,1874.638
"74",74,1879.372
"75",75,1859.462
"76",76,1831.44
"77",77,1855.094
"78",78,1830.058
"79",79,1809.972
"80",80,1935.594
"81",81,1892.24
"82",82,1912.076
"83",83,1892.6
"84",84,1882.77
"85",85,1881.572
"86",86,1854.48
"87",87,1838.724
"88",88,1955.622
"89",89,1918.534
"90",90,1923.66
"91",91,1939.102
"92",92,1914.184
"93",93,1891.892
"94",94,1873.998
"95",95,1856.806
"96",96,1976.676
"97",97,1938.632
"98",98,1928.948
"99",99,1929.218
"100",100,1941.366
"101",101,1913.284
"102",102,1916.716
"103",103,1893.176
"104",104,1989.01
"105",105,1963.722
"106",106,1959.426
"107",107,1933.48
"108",108,1933.678
"109",109,1916.436
"110",110,1886.734
"111",111,1905.104
"112",112,2010.702
"113",113,1994.942
"114",114,1993.878
"115",115,1989.708
"116",116,1964.382
"117",117,1945.146
"118",118,1943.886
"119",119,1911.194
"120",120,2001.35
"121",121,1995.6
"122",122,1979.106
"123",123,1957.5
"124",124,1932.54
"125",125,1938.974
"126",126,1909.676
"127",127,1920.7
"128",128,2000.758
"129",129,1984.964
"130",130,1978.092
"131",131,1953.756
"132",132,1844.198
"133",133,1902.15
"134",134,1888.112
"135",135,1856.45
"136",136,1965.868
"137",137,1932.584
"138",138,1923.222
"139",139,1860.688
"140",140,1642.718
"141",141,1697.866
"142",142,1687.052
"143",143,1641.342
"144",144,1788.848
"145",145,1748.954
"146",146,1744.034
"147",147,1674.886
"148",148,1628.56
"149",149,1595.334
"150",150,1595.116
"151",151,1562.76
"152",152,1627.066
"153",153,1598.544
"154",154,1583.56
"155",155,1565.242
"156",156,1532.292
"157",157,1491.948
"158",158,1496.902
"159",159,1482.95
"160",160,1518.776
"161",161,1501.042
"162",162,1499.57
"163",163,1472.948
"164",164,1454.784
"165",165,1444.44
"166",166,1444.918
"167",167,1440.98
"168",168,1486.818
"169",169,1472.384
"170",170,1473.382
"171",171,1474.26
"172",172,1454.736
"173",173,1453.726
"174",174,1493.538
"175",175,1473.602
"176",176,1541.994
"177",177,1529.394
"178",178,1540.336
"179",179,1530.108
"180",180,1513.742
"181",181,1524.57
"182",182,1524.51
"183",183,1512.49
"184",184,1555.206
"185",185,1532.378
"186",186,1527.63
"187",187,1521.328
"188",188,1512.268
"189",189,1499.338
"190",190,1491.096
"191",191,1487.48
"192",192,1522.95
"193",193,1495.498
"194",194,1494.576
"195",195,1495.328
"196",196,1483.708
"197",197,1465.136
"198",198,1474.926
"199",199,1472.86
"200",200,1507.54
"201",201,1495.602
"202",202,1508.278
"203",203,1493.302
"204",204,1490.206
"205",205,1487.612
"206",206,1487.476
"207",207,1476.34
"208",208,1511.516
"209",209,1498.6
"210",210,1504.156
"211",211,1492.89
"212",212,1492.452
"213",213,1490.312
"214",214,1497.982
"215",215,1473.068
"216",216,1517.714
"217",217,1513.87
"218",218,1510.628
"219",219,1498.824
"220",220,1520.16
"221",221,1498.748
"222",222,1511.376
"223",223,1509.64
"224",224,1563.662
"225",225,1532.4
"226",226,1576.226
"227",227,1551.186
"228",228,1567.998
"229",229,1559.548
"230",230,1565.144
"231",231,1561.242
"232",232,1591.62
"233",233,1577.356
"234",234,1575.296
"235",235,1570.862
"236",236,1565.442
"237",237,1553.828
"238",238,1561.686
"239",239,1546.418
"240",240,1582.036
"241",241,1572.54
"242",242,1561.616
"243",243,1532.968
"244",244,1553.908
"245",245,1536.982
"246",246,1541.836
"247",247,1533.194
"248",248,1550.354
"249",249,1556.964
"250",250,1557.666
"251",251,1546.562
"252",252,1549.896
"253",253,1549.206
"254",254,1537.826
"255",255,1545.746
"256",256,1542.96
"257",257,1548.534
"258",258,1533.87
"259",259,1550.924
"260",260,1521.464
"261",261,1536.592
"262",262,1541.574
"263",263,1526.346
"264",264,1559.26
"265",265,1539.828
"266",266,1542.692
"267",267,1540.502
"268",268,1519.568
"269",269,1529.274
"270",270,1514.362
"271",271,1550.288
"272",272,1546.9
"273",273,1533.102
"274",274,1545.75
"275",275,1527.37
"276",276,1529.76
"277",277,1530.898
"278",278,1520.932
"279",279,1535.398
"280",280,1561.798
"281",281,1546.812
"282",282,1545.912
"283",283,1546.39
"284",284,1535.492
"285",285,1526.928
"286",286,1531.41
"287",287,1540.726
"288",288,1566.292
"289",289,1560.538
"290",290,1559.538
"291",291,1533.188
"292",292,1541.136
"293",293,1526.24
"294",294,1516.776
"295",295,1543.494
"296",296,1561.486
"297",297,1541.912
"298",298,1561.106
"299",299,1527.956
"300",300,1529.854
"301",301,1536.95
"302",302,1519.36
"303",303,1536.404
"304",304,1573.304
"305",305,1544.186
"306",306,1588.394
"307",307,1545.248
"308",308,1541.46
"309",309,1569.516
"310",310,1558.582
"311",311,1576.142
"312",312,1605.806
"313",313,1592.55
"314",314,1594.004
"315",315,1576.84
"316",316,1574.596
"317",317,1565.142
"318",318,1574.498
"319",319,1577.142
"320",320,1600.764
"321",321,1591.098
"322",322,1579.012
"323",323,1572.39
"324",324,1564.028
"325",325,1552.644
"326",326,1559.93
"327",327,1555.052
"328",328,1577.72
"329",329,1578.184
"330",330,1551.816
"331",331,1568.976
"332",332,1562.032
"333",333,1545.724
"334",334,1568.422
"335",335,1566.824
"336",336,1589.152
"337",337,1582.256
"338",338,1566.698
"339",339,1572.336
"340",340,1572.38
"341",341,1559.116
"342",342,1568.746
"343",343,1573.192
"344",344,1592.562
"345",345,1578.508
"346",346,1575.544
"347",347,1577.324
"348",348,1572.162
"349",349,1556.502
"350",350,1563.264
"351",351,1573.826
"352",352,1592.748
